latitude,longitude
41.932252523,-87.740697637
41.784289066,-87.671611736
41.965500857,-87.736344901
41.870389764,-87.625902397
41.749434816,-87.552851055
41.934501029,-87.79728987
41.677952365,-87.629134044
41.922137144,-87.673257556
41.830109681,-87.610058377
41.693003603,-87.535281476
41.778015745,-87.598061446
41.743605356,-87.553980638
41.845018785,-87.623620246
41.81039482,-87.745677369
41.72811844,-87.626417713
41.735423504,-87.624142976
41.7776658,-87.703106855
41.884433056,-87.652397642
41.774640959,-87.687185395
41.930585894,-87.749632267
41.893775893,-87.763524147
41.879665664,-87.704749502
41.799495764,-87.745384535
41.929304847,-87.700017881
41.939957059,-87.651013319
41.71181112,-87.600479196
41.960973909,-87.784383295
41.859825426,-87.720108473
41.878519796,-87.704973708
41.77797218,-87.605874726
41.971268554,-87.713443813
41.742641244,-87.661625734
41.7574144,-87.663601121
41.691257973,-87.623064918
41.947698935,-87.803402749
41.933073108,-87.700098208
41.850569484,-87.712529409
41.835981018,-87.724328643
41.940510231,-87.707658764
41.859830378,-87.726205849
41.752389546,-87.614984826
41.802588016,-87.651442076
41.812827795,-87.69802291
41.866843668,-87.625816668
41.933037435,-87.700098561
41.764030879,-87.665009499
41.976290414,-87.905227221
41.915570751,-87.665756528
41.829651528,-87.614451899
41.749096932,-87.626132633
41.903460126,-87.765700886
41.65642927,-87.547139336
41.794282844,-87.619214884
41.881972364,-87.731677183
41.851790107,-87.703352433
41.897174047,-87.702267476
41.952685246,-87.810600012
41.866055685,-87.733247231
41.896822306,-87.677690886
41.91629263,-87.692269133
41.68158672,-87.670816322
41.783340761,-87.605993706
41.750288779,-87.66101097
41.841934059,-87.632979561
41.746633882,-87.614847446
41.953200167,-87.765329611
41.964262868,-87.648305211
41.774531367,-87.603362034
41.732675479,-87.56467514
41.784050587,-87.698406075
41.753995676,-87.613783158
41.902316545,-87.749434312
41.977086285,-87.841539331
41.755592351,-87.647809328
41.877441807,-87.650731367
41.865154549,-87.713930253
41.902273439,-87.667860308
41.777899159,-87.596141664
41.761758116,-87.583556445
41.899920176,-87.724992422
41.777042991,-87.709165862
41.729550123,-87.639788445
41.883209085,-87.633223046
41.869556765,-87.71963364
41.741728501,-87.577014421
41.76618374,-87.672354986
41.93110044,-87.778696999
41.778160417,-87.698240536
41.878625565,-87.766431127
41.946461935,-87.720797054
41.958436775,-87.715505751
41.74256713,-87.661622842
41.709914846,-87.669584301
41.760172477,-87.55800622
41.888910582,-87.759163936
41.879838381,-87.769747315
41.906477207,-87.757118325
41.747091167,-87.590521098
41.98565063,-87.782832506
41.888309133,-87.765140918
41.947271697,-87.728082383
41.848873261,-87.712479744
41.913461196,-87.76314702
41.947843813,-87.799725563
41.881732151,-87.649991662
41.959139976,-87.653474266
41.953673192,-87.725860147
41.756419464,-87.563897102
41.842525529,-87.716508323
41.76821922,-87.636010658
41.892507682,-87.626238686
41.86651417,-87.77293725
42.016488345,-87.683355664
41.761240207,-87.611528705
41.696496448,-87.530456229
41.918994557,-87.673179713
41.695908161,-87.595822806
41.821000514,-87.695594154
41.778340747,-87.684834834
41.936988359,-87.748052288
41.917061131,-87.687393113
41.691583891,-87.630995465
41.887711996,-87.617139647
41.935343672,-87.654656897
41.751719202,-87.663469758
41.848888074,-87.713698143
41.772254747,-87.607006117
41.886800968,-87.646345969
41.953673192,-87.725860147
41.827543347,-87.677646093
41.752054696,-87.614977565
41.736838785,-87.67281718
41.813031874,-87.615272379
41.745817472,-87.603313617
41.927101339,-87.680438363
41.87967278,-87.704044395
41.799532089,-87.737521099
41.851407425,-87.733887015
41.904241141,-87.694450526
41.803021054,-87.621050731
41.711747024,-87.624828137
41.721200286,-87.663570699
41.879468598,-87.747942191
41.755386372,-87.63864543
41.891686695,-87.627055746
41.883861425,-87.728214833
41.940691313,-87.651273807
41.881673522,-87.719800467
41.882837586,-87.702169872
41.78315965,-87.612089556
41.707978614,-87.608909328
41.783014203,-87.591404572
41.729359858,-87.641003107
41.753567171,-87.564572519
41.994306774,-87.677511636
41.799590094,-87.616100947
41.691791597,-87.679692934
41.681842936,-87.641183224
41.790556418,-87.62236217
41.887919288,-87.628019052
41.802750621,-87.681823332
41.711672932,-87.62482895
41.89740497,-87.754434051
41.829651528,-87.614451899
41.950588006,-87.673048657
41.944710093,-87.668801277
41.800863342,-87.664766276
41.977301201,-87.681886047
41.880185843,-87.6656329
41.753050735,-87.555526554
41.851929357,-87.693297619
41.969422202,-87.741088677
41.764682386,-87.663785792
41.93701559,-87.745861525
41.764140561,-87.59762608
41.936954441,-87.750555517
41.764984621,-87.610409076
41.69814573,-87.616793511
41.917692894,-87.680703288
41.988149018,-87.797579369
41.776581063,-87.631051402
41.852886142,-87.622663364
41.76680404,-87.605619683
41.971090021,-87.684122633
41.954788917,-87.709269082
41.937990081,-87.810631829
41.941926956,-87.811599453
41.897399834,-87.635977148
41.88772996,-87.632505286
41.749385386,-87.556490622
41.902656452,-87.727119054
41.880154994,-87.770515674
41.886968562,-87.6486762
41.87102983,-87.676368411
41.886690285,-87.755294667
41.97007647,-87.651302399
41.659279173,-87.582210327
41.817604432,-87.598015977
41.893112265,-87.751578616
41.751254861,-87.669521402
41.780145374,-87.683665408
41.995001671,-87.881914976
41.806579104,-87.619518492
41.705941932,-87.563268783
41.775096813,-87.703047685
41.76122437,-87.610319333
41.771393186,-87.672488467
41.824933076,-87.623104662
41.874850606,-87.735272577
41.740681127,-87.655900798
41.854576677,-87.701063978
41.975742614,-87.709071911
41.936799488,-87.644291704
41.874744196,-87.725458878
41.684809877,-87.642147208
41.779704696,-87.647508582
41.906492904,-87.75587283
41.811397019,-87.671120054
41.848321812,-87.691046999
41.703941047,-87.564457187
41.88720883,-87.649852506
41.816321863,-87.631189677
41.768635844,-87.623381396
41.785407889,-87.730285513
41.971082789,-87.773422669
41.870968614,-87.682485871
41.895729959,-87.624991059
41.819016131,-87.703002406
41.975729415,-87.654989539
41.780713292,-87.641341929
41.963549508,-87.718111068
41.919416492,-87.738857992
41.761226178,-87.63456161
41.885901992,-87.632455489
41.948634813,-87.739498255
41.895480162,-87.653584211
41.694337152,-87.628867473
41.754823635,-87.551092573
41.871779347,-87.71396176
41.922596118,-87.662016123
41.670231836,-87.627230741
41.776267726,-87.60583533
41.754137211,-87.624633337
42.00658277,-87.67198795
41.881654872,-87.703679762
41.889020121,-87.649407176
41.899501827,-87.754484904
41.752441813,-87.595516831
41.691609719,-87.612124612
41.755403057,-87.640499726
41.754442135,-87.633638343
41.722458161,-87.576211117
41.969777256,-87.703643717
41.940437984,-87.795784627
41.756497555,-87.577313831
41.683494967,-87.624069182
41.976318498,-87.713556657
41.892273764,-87.775048039
41.770526079,-87.625065164
41.992861709,-87.700694089
41.762450911,-87.672254013
41.90261354,-87.696872817
41.879601194,-87.739028873
41.930861708,-87.797188041
41.938203175,-87.67588522
41.733562332,-87.624057202
41.751450532,-87.66022925
41.932827539,-87.709883798
41.891948167,-87.628073894
41.889020121,-87.649407176
41.761226178,-87.63456161
41.689578825,-87.536488075
