latitude,longitude
41.734975181,-87.652099105
41.913054367,-87.678638005
41.771068348,-87.583799955
41.756877411,-87.593508891
41.87960371,-87.738984784
41.798444549,-87.704924061
41.778979093,-87.649624444
41.764249877,-87.58438882
41.930111836,-87.639281218
41.914832068,-87.684340383
41.98001525,-87.65721327
41.7259151,-87.644549527
41.917107701,-87.687866617
42.00977555,-87.662281367
41.662817752,-87.641405308
41.774533277,-87.592939416
41.919222913,-87.787757907
41.664207638,-87.629408264
41.666453001,-87.640326968
41.866938331,-87.660285789
41.726958304,-87.598534014
41.652397609,-87.617234888
41.991876101,-87.680519861
41.906519104,-87.758359629
41.787858231,-87.716273609
41.904653577,-87.708056731
41.788811675,-87.620691021
41.758631467,-87.557383369
41.968938389,-87.73668788
41.921223752,-87.770757528
41.757648178,-87.632852174
41.726139992,-87.657932852
41.884231489,-87.696669693
41.683985599,-87.614256209
41.753115101,-87.664719615
41.70592204,-87.681604302
41.761404754,-87.616771919
41.776812185,-87.666618258
41.886080551,-87.647484796
41.961095248,-87.715891865
41.785462633,-87.699668151
41.867293733,-87.711651717
41.870111992,-87.69958549
41.99125722,-87.72886504
41.862409706,-87.732939912
41.79831943,-87.69270544
41.743701059,-87.561245782
41.911952129,-87.771551691
41.962737417,-87.650663692
41.741445808,-87.603747874
41.890009489,-87.655203093
41.690808322,-87.620030985
41.759399738,-87.628031717
41.852394125,-87.715018724
41.772951536,-87.685911928
41.861552632,-87.660033906
41.688400406,-87.613247823
41.756484763,-87.715133868
41.773438442,-87.620292992
41.925909242,-87.803880763
41.708161904,-87.647731152
41.860396443,-87.707933763
41.771405984,-87.665211556
41.734995437,-87.545778898
41.910588527,-87.722690505
41.808458389,-87.64551837
41.953984513,-87.696214922
41.806661953,-87.616517239
41.903063772,-87.764352581
41.764618344,-87.652885271
41.88993496,-87.637696349
41.882276927,-87.762304324
41.830615654,-87.656142227
41.819347317,-87.615851173
41.683938235,-87.721741177
41.715680818,-87.643058205
41.809523197,-87.596831923
41.73901292,-87.658288965
41.777273097,-87.690183606
41.700035628,-87.611818086
41.993282455,-87.784021147
41.987592767,-87.690796555
41.743703739,-87.562462297
41.764349018,-87.673521113
41.975252673,-87.656976798
41.910508123,-87.713319313
41.860252152,-87.715244047
41.966806189,-87.650053986
41.729087095,-87.582701884
41.76134969,-87.621599741
41.750782715,-87.625813624
41.792714596,-87.694990851
41.922705567,-87.681004963
41.784146563,-87.674033163
41.890805483,-87.677917691
41.809483598,-87.69179825
41.744704971,-87.642648473
41.810413383,-87.601718641
41.846964195,-87.727039531
41.725819169,-87.596781291
41.751879985,-87.735389301
41.909496755,-87.756202115
41.97551745,-87.729569215
41.764524087,-87.693804161
41.919142191,-87.647336645
41.868219921,-87.664046556
41.758979264,-87.567088206
41.943583584,-87.729146471
41.722238051,-87.643233456
41.691602387,-87.656954212
42.008211373,-87.672213925
41.727850923,-87.582093496
41.743503863,-87.60501807
41.808201741,-87.684420054
42.009037537,-87.67081452
41.732051491,-87.638640464
41.722398178,-87.642022922
41.702645135,-87.619673136
41.895420644,-87.720539406
41.748876971,-87.566185932
41.88404795,-87.662970656
41.899675912,-87.724987394
41.85514757,-87.627138557
41.964554554,-87.662381073
41.74816769,-87.657313572
41.754602618,-87.562650741
41.67871892,-87.645594797
41.902789579,-87.710965879
41.890430903,-87.647607205
41.846934947,-87.728779481
41.891135724,-87.628049777
41.897598398,-87.767919927
41.878286991,-87.679011356
41.860334918,-87.706715603
41.776004766,-87.604613811
41.913599904,-87.712631742
41.978960592,-87.666444584
41.807528961,-87.618689997
41.759178037,-87.643039413
41.697433812,-87.623242301
41.970662224,-87.768796637
41.742944624,-87.614701699
41.893284424,-87.670899249
41.97136114,-87.77705344
41.757638411,-87.600489485
41.949795458,-87.745332473
42.002625049,-87.671407165
41.864958112,-87.625775047
41.721196875,-87.620577796
41.762866603,-87.683546505
41.856171467,-87.622292958
41.947595933,-87.667668518
41.97476724,-87.69735748
41.866132024,-87.727923138
42.0091053,-87.66687675
41.930952654,-87.788525268
41.783810876,-87.692303563
41.651374048,-87.543516137
41.79098642,-87.626226099
41.786030973,-87.716866806
41.793079034,-87.737283828
41.886646749,-87.684956249
41.788768843,-87.650231803
41.86324385,-87.715329039
41.968195174,-87.732043219
41.90434894,-87.632937036
41.699058399,-87.638951724
41.784392553,-87.658267829
41.763137138,-87.576235238
41.987267534,-87.689563935
41.753367468,-87.642892778
41.798030386,-87.629702378
41.801042591,-87.69088854
41.757746672,-87.62474756
41.927273535,-87.726849302
41.842201881,-87.707410014
41.783260504,-87.594705296
41.767387946,-87.693097572
41.920617566,-87.686890595
41.744946864,-87.629149986
41.777052285,-87.649571585
41.751719438,-87.566914357
41.965219471,-87.741359253
41.777325462,-87.798930713
41.75652833,-87.592570988
41.803534602,-87.685549125
41.775943597,-87.599745874
41.896164467,-87.723658031
